id,username,profile_image_url,following
1139637948792614913,Deborahmsc,https://pbs.twimg.com/profile_images/1139967343759634432/PX7oDCSj_400x400.jpg,155
1105179091597213696,MC06_Helton,https://pbs.twimg.com/profile_images/1120522871133151233/N-gL6sIm_400x400.jpg,81
838377949233569792,Felipe_Aguiar01,https://pbs.twimg.com/profile_images/1115205259805306880/UvWoVpkX_400x400.jpg,331
59591856,Flamengo,https://pbs.twimg.com/profile_images/1103052077721415680/SE_00dBW_400x400.png,55
53335848,Silver_ES,https://pbs.twimg.com/profile_images/809011316551720960/ua3RemZa_400x400.jpg,727
1042810629491503105,Lacerda_Cassio_,https://pbs.twimg.com/profile_images/1139394516929007616/ATNO60VL_400x400.jpg,10515
1113094855281008641,SF_Moro,https://pbs.twimg.com/profile_images/1113126472225619968/HOtiwqV9_400x400.png,14
994757125133012992,Rafa_Vicente27,https://pbs.twimg.com/profile_images/1097586380702707712/FSZz5cDL_400x400.jpg,418
1098036466272428035,abigailmicaele,https://pbs.twimg.com/profile_images/1134541474207588352/dZhQIhoB_400x400.jpg,185
580097412,ChrisEvans,https://pbs.twimg.com/profile_images/1036007653774897152/qLFD44NH_400x400.jpg,489
3391910403,Viniciiuss__,https://pbs.twimg.com/profile_images/1139876666778562565/SkcNmLGq_400x400.jpg,252
39342378,pefabiodemelo,https://pbs.twimg.com/profile_images/951430232338239488/LX2KIuwI_400x400.jpg,487
826601365061386240,mauriciovmeelo,https://pbs.twimg.com/profile_images/1139550109379846144/WyE5b0tr_400x400.jpg,174
1317495384,jlo06,https://pbs.twimg.com/profile_images/1112104474263334913/SGYUcH0l_400x400.jpg,83
124037607,PERFECCIONlSTA,https://pbs.twimg.com/profile_images/990300894637027328/cIrSg9ui_400x400.jpg,18131
975498680852729856,feibricioo,https://pbs.twimg.com/profile_images/975525790845632513/F_0ryBU5_400x400.jpg,65
1020386377890975744,luan_serhs,https://pbs.twimg.com/profile_images/1109921936447098880/1CZIbAO8_400x400.jpg,44
1060511184863051776,avblockbass,https://pbs.twimg.com/profile_images/1060511955620892672/2WF9Nnbd_400x400.jpg,109
704111433991249920,joaonuness_00,https://pbs.twimg.com/profile_images/1140750905203142656/HevAPhMg_400x400.jpg,827
968011888075378688,lsentoes,https://pbs.twimg.com/profile_images/1133787443575046145/v6eRktQE_400x400.png,116
615509791,oiluiz,https://pbs.twimg.com/profile_images/1125132227711504388/lTJ5sh4d_400x400.jpg,940
1051305592369889280,Ribasmec10,https://pbs.twimg.com/profile_images/1051328128793157632/TaSrk_Wa_400x400.jpg,2695
967806745706926080,K4iOL1NS,https://pbs.twimg.com/profile_images/992919095053049857/2xmwiBOk_400x400.jpg,283
793110732757958657,RaskiRayan,https://pbs.twimg.com/profile_images/1078053919836831744/635zKEvO_400x400.jpg,209
1284626924,pgiovanas,https://pbs.twimg.com/profile_images/1136439227216945153/arsHWsf9_400x400.jpg,198
3588999917,vaal_carrer,https://pbs.twimg.com/profile_images/1141043817002520576/u8jeqmWu_400x400.png,1438
1030569817718382592,Geraldoesnker,https://pbs.twimg.com/profile_images/1126667897097609216/hDMGKjmY_400x400.jpg,190
3345417459,_natancrf,https://pbs.twimg.com/profile_images/1135259916195811332/6PmHDN9l_400x400.jpg,4301
1021808439738204160,_Cuellarmec,https://pbs.twimg.com/profile_images/1136029096515985408/cgSCCMpg_400x400.jpg,9421
1212756768,RapaChaves,https://pbs.twimg.com/profile_images/1100854483821637632/iqoQjSf7_400x400.jpg,1497
329818518,astroslogias,https://pbs.twimg.com/profile_images/1140576330934829056/OPAPz4WE_400x400.jpg,36
858809564682125313,brietzke_bruna,https://pbs.twimg.com/profile_images/1140025876823846912/C3QnbQ8h_400x400.jpg,1085
1012867184874393602,digneco,https://pbs.twimg.com/profile_images/1036283822491557895/Eg-mz5IY_400x400.jpg,189
2416187184,sickophone,https://pbs.twimg.com/profile_images/1141565899817791488/Fp8ezmza_400x400.jpg,838
1002176305511698432,guuzeracrf_,https://pbs.twimg.com/profile_images/1116371411319316485/JqhmuiWK_400x400.jpg,1522
367163892,LaraPiresP,https://pbs.twimg.com/profile_images/1139958742173270017/YWuWZ_7k_400x400.jpg,26016
2862837755,Jonatha_Th,https://pbs.twimg.com/profile_images/1098719266889785345/MkWIpvkE_400x400.jpg,407
367543355,Lucasmt_10,https://pbs.twimg.com/profile_images/1140455909543596034/Piby360A_400x400.jpg,607
1679188160,leormindos,https://pbs.twimg.com/profile_images/1067531559861985280/MNf_4EEz_400x400.jpg,326
781216356276592640,MichaelKurt11,https://pbs.twimg.com/profile_images/1075554514785189890/MBBWvigZ_400x400.jpg,456
840377176822296580,MauricioRez_,https://pbs.twimg.com/profile_images/1131779169203965953/uW7i7ue-_400x400.jpg,151
1327612194,ytalogr,https://pbs.twimg.com/profile_images/1138949526578966528/t5J_7ILb_400x400.jpg,700
632523182,n4thi_almeida,https://pbs.twimg.com/profile_images/1140840340066377728/gHvYEoss_400x400.jpg,920
999082302977298433,Jefersonine9,https://pbs.twimg.com/profile_images/1024436210247315456/0CIW66yW_400x400.jpg,505
1003725105401335808,ribashomao,https://pbs.twimg.com/profile_images/1003726466956300288/H0Hj5iq5_400x400.jpg,922
1002565610927198208,NaraBrandao2,https://pbs.twimg.com/profile_images/1020698713621188608/BIHwq3TJ_400x400.jpg,199
85640340,rsaales,https://pbs.twimg.com/profile_images/657571426468282368/zDf7Ekay_400x400.jpg,137
3155024644,alm1rlobo,https://pbs.twimg.com/profile_images/1130782507161575424/2qlEIAA3_400x400.jpg,324
3435627250,nathaliasoar3s,https://pbs.twimg.com/profile_images/1102719050268971008/DBiaGVcE_400x400.jpg,355
528799640,IsraelBoechat,https://pbs.twimg.com/profile_images/1098675070573166593/wiFgVGhq_400x400.jpg,522
915319686790819842,jmds781,https://pbs.twimg.com/profile_images/1074100574575095808/wMmOjf_Y_400x400.jpg,3932
2720326015,_pduarte10,https://pbs.twimg.com/profile_images/1083005657782149121/M9IopsL3_400x400.jpg,285
955814594299260928,Ren4n_M,https://pbs.twimg.com/profile_images/1125129095661215745/JPB5FzvT_400x400.jpg,374
882035522960584705,Chuckymilitao,https://pbs.twimg.com/profile_images/961666676600209409/VmYZ_rTb_400x400.jpg,291
3295560659,ViiCkSouSa1,https://pbs.twimg.com/profile_images/1099332572700725248/nPxTua9A_400x400.jpg,4174
389192983,karen_spaiva,https://pbs.twimg.com/profile_images/1138676588491497473/pXTKVy68_400x400.jpg,445
940378959711227904,escorpinandaa,https://pbs.twimg.com/profile_images/1011491302322688000/tTmKvAMh_400x400.jpg,283
826616691631210497,FabioBasile10,https://pbs.twimg.com/profile_images/1125555256807624704/rtAfV9j9_400x400.jpg,1129
3603690329,tamyrescristina,https://pbs.twimg.com/profile_images/1128121436542066688/w27cj_Q__400x400.jpg,174
168664238,mikaelrochaaa,https://pbs.twimg.com/profile_images/992049311428087810/6yh2O_FY_400x400.jpg,919
3411772409,gabrielapissini,https://pbs.twimg.com/profile_images/1135694514201513990/ck4MfuAP_400x400.jpg,7248
906282916069732352,WDSantosSilva,https://pbs.twimg.com/profile_images/1138475073881419777/oB-ebDva_400x400.jpg,1030
98260730,lukinhas_an,https://pbs.twimg.com/profile_images/907253410096918529/VDgUc74B_400x400.jpg,153
784392781938720769,SrLagarton,https://pbs.twimg.com/profile_images/1133089376555159553/-OKQNODU_400x400.jpg,172
3998212295,vinix66dutra,https://pbs.twimg.com/profile_images/1113952831273410562/QWxYR4ub_400x400.jpg,1012
174769099,FellypeRochaa,https://pbs.twimg.com/profile_images/1133071407498375174/V2F0Yo6z_400x400.jpg,188
835908951883526146,fabianolop3s,https://pbs.twimg.com/profile_images/1132266947381534720/KDrtgL4O_400x400.jpg,502
